proposal_id,sentence_id,text,label
603,1,"La conduccion con estas carreteras totalmente a oscuras es peligrosa, que se ahorre de otra manera o enciendan luces alternas pero circular por estas carreteras totalmente a oscuras es inadmisible.",0
615,1,"Creo que debemos defender el transporte publico y en bicicleta, pero estoy realmente harto del gran numero de ciclistas que consideran que los ceda el paso y los semaforos no son para ellos.",0
652,1,Que el Ayuntamiento de Madrid preste todo el apoyo necesario a cualquier mujer embarazada que quiera continuar con su embarazo pero que sufra dificultades sociales y/o economicas.,0
669,1,"Son miles de manifestaciones al ano en Madrid, manifestaciones de todo tipo que no implican a los Madrilenos pero si son sus sufridores.",0
669,2,"El derecho a manifestarse es legitimo, y el de no ser afectado",0
670,1,"Conectar peatonalmente y con vias ciclistas varios barrios de Arganzuela y Retiro muy cercanos, pero aislados entre si: Pacifico, Adelfas, Mendez Alvaro, Legazpi, Delicias, Los Metales y Los Puertos.",0
691,1,"Tener acceso gratuito en los polideportivos municipales para todas las actividades que se realicen en ellos, ya que solo hay acceso a la piscina",1
693,1,"Muchos polideportivos municipales cierran durante el fin de semana, lo cual es un sinsentido, dado que es cuando la gente tiene mas tiempo libre para hacer deporte.",1
701,1,"Los patinadores van a patinar donde pueden, pero eso genera molestias de ruido a los vecinos.",1
701,2,"Por ello, necesitan un espacio publico para esta actividad.",0
747,1,"Propongo que halla mas policia municipal en arganzuela , ya que hay mucha inseguridad , robos y trapicheo y apenas hay coches , ademas tardan 30 min minimo en llegar",1
759,1,"Creo necesario, como en muchas ciudades europeas, crear un impuesto para turistas que se alojen en hoteles madrilenos, aunque sea de 50 centimos por persona y noche.",1
759,2,Ahorrariamos los madrilenos mucho.,0
781,1,"Malasana es una zona de ocio desde hace mucho tiempo, eso es cierto, pero ni los locales ni las personas que estan de ocio se dan cuenta de que las personas que vivimos en la zona necesitamos dormir.",0
782,1,Propongo hacer un carril bici que vaya en paralelo a la senda unica que recorre el parque entero.,0
782,2,No creo que pintarlo en la actual senda sea la solucion porque se reducen los espacios de circulacion.,1
786,1,"El objetivo es asegurarnos de que la urbanizacion y colocacion de mobiliario se realiza, pero solo una vez.",1
786,2,No al principio de la obra y nuevamente a su finalizacion.,0
797,1,Hasta ahora existe un abono transporte para jovenes pero yo propongo que se cree un abono todavia mas economico o bien que se extienda el infantil hasta terminar la ensenanza obligatoria (16 anos),0
812,1,"Propongo que las televisiones de los hospitales publicos de Madrid sea gratuitas para los enfermos ingresados, ya que su unica distraccion es esta y tienen que pagar por ella.",1
819,1,"Creo que existe una 'Agencia de alquiler municipal', pero propongo que esta sea 100% efectiva y todos los contratos de alquiler de viviendas pasen por su mediacion.",1
819,2,"Evitando abusos, morosos,...",0
823,1,Al igual que los imigrantes y refugiados reciben una paga de 400 porque los madrilenos desempleados no la recibimos,1
863,1,haria falta porque hay de arte y pintura pero no artesania.,1
867,1,"Son dos edificios cargados de historia y patrimonio, y sin embargo permanecen cerrados.",1
867,2,La gente debe conocer su historia y su patrimonio.,0
876,1,Seria conveniente y necesario ampliar la linea 123 hasta Los Rosales junto al bus 85 y asi mayor fluided al barrio ya que no dispones de metro y renfe.,1
884,1,Somos muchas las personas que nos gustaria que se abriera la ESTACION DE TREN DE ODONELL (cerca del plenilunio).,0
884,2,Esto haria que el trafico en Madrid disminuyera ya que muchos utilizariamos el tren como medio de transporte.,0
884,3,"Tenemos muchos barrios cerca: Ciudad Pegaso, Las Mercedes, Alameda de Osuna, Canillejas.",0
884,4,Se evitaria contaminacion y atascos en los alrededores.,0
884,5,Muchas gracias,0
886,1,En ciertas calles de la ciudad resulta peligrosa la circulacion de estos vehiculos por estos carriles debido a la reducida visibilidad.,1
898,1,"En este pequeno espacio hay mas de 26 motos en las aceras impidiendo a los viandantes circular bien ya que las aceras son estrechas, si se creara un espacio para aparcar mejoraria esta situacion",1
905,1,"Sanchinarro tiene mala comuniacion por toda la calle Arturo Soria hasta la calle Alcala, ya que no hay autobuses que cubran toda la calle.",1
905,2,Es necesario un autobus que parta de Sanchinarro o Las Tablas,0
918,1,Casi siempre vamos con mi mujer y mi hijo de 3 anos a disfrutar los fines de semana del teatro de titeres del Retiro.,0
918,2,"La propuesta me parece muy atractiva, pero la grada es sumamente pequena.",0
932,1,"Propongo que se permita a todos los profesionales sanitarios de atencion domiciliaria la circulacion por calles de acceso exclusivo a residentes, dado que es necesario, en muchas ocasiones",1
933,1,"Campana para educar a la ciudadania sobre cuidar los servicios publicos y de la ciudad ya que es de tod@s, limpieza calles, bici, parques, calles, mobiliario urbano.",1
933,2,.,0
936,1,"Los hombres maltratados por su pareja son la cara oscura de la violencia domestica, que apenas sale en los medios de comunicacion pero existen.",0
936,2,Tras un proceso de divorcio conflictivo necesitan ayuda,0
939,1,"Equidad en la asignacion de obras de mejora en las vias y aceras para todos los distritos, ya que todos los vecinos pagan sus impuestos por igual.",1
950,1,"Hay multas que no se pagan no porque no se quiera, sino porque no se pueden pagar esas cantidades con los sueldos y lo cara que es la vida.",1
950,2,Si en vez de 100 y 200 fuesen de 30 o 60 se podrian pagar.,0
958,1,Colocacion de un semaforo en cruce de dichas calles ya que los coches se saltan el ceda al paso,0
969,1,"Mayor limpieza y baldeo de las calles, estan muy sucias, papeleras insuficientes o llenas, desperdicios fuera de contenedores por estar llenos o porque , buscando entre basura arrojan las bolsas rotas",1
970,1,"Debido al coste de los servicios veterinarios privados, gente que dificilmente llega a fin de mes tiene que prescindir de vacunar a sus mascotas.",0
970,2,"Existe una campana anual, pero con fechas limitadas.",1
987,1,acortar las vacaciones de los ninos en la escuela porque los padres cada vez tenemos menos dias en verano ya que nos dividen el mes de vacaciones en turnos de 15 dias en invierno y 15 dias en verano .,1
992,1,Rellenar los alcorques de los arboles porque el hueco ocupa media acera,1
994,1,"La normativa expresa que no se pueden sobrepasar ciertos decibelios para los vehiculos de motor, aprox 80 dependiendo del tipo de vehiculo, sin embargo no se respeta.",1
997,1,Las plazas de las Descalzas y de San Martin son lugares centricos pero nada amables para el peaton.,0
997,2,Necesitan una urgente remodelacion para adecuarlas al centro historico de la ciudad.,0
1005,1,La calle Pelayo es irrelevante como via de acceso pues se corta bruscamente en san Marcos.,1
1005,2,No llega siquiera a la Plaza Pedro Zerolo.,0
1005,3,Es una calle con mucha movimiento peatonal y los coches molestan.,0
1012,1,Entiendo que la libre eleccion de personas tiene que ver mas con la politica que con la administracion porque son personas puestas a dedo.,1
1012,2,Administracion transparente y sin amiguismos.,0
1021,1,"Hace un tiempo quedamos fuera de la lista por recortes,mientras que parejas de heterosexuales si pueden ser ayudadas en este caso,ser madres en nuestro caso es casi imposible debido a su elevado coste",1
1043,1,Que algunos dias alternos de la semana no se pueda tirar la basura.,0
1043,2,Supondria un ahorro y una medida de caracter medioambiental ya que favoreceria la no utilizacion abusiva de envases.,1
1052,1,Los vecinos de Simancas/San Blas tenemos como referencia el Hospital Ramon y Cajal pero no tenemos buena comunicacion con el.,0
1052,2,Necesitamos un bus que haga la ruta por el barrio y llegue hasta alli.,0
1055,1,Que los que solo podemos aparcar en las plazas verdes tambien podamos hacerlo en las azules.,0
1055,2,"La gente que no sea residente, que siga pudiendo hacerlo en ambas aunque con sus actuales precios distintos",1
1070,1,"Evitar que viviendas vacias por larga temporada tengan la calefaccion central encendida, porque paga igual de comunidad, pero esta contaminando la ciudad.",1
1070,2,Se haria mediante campana de concienciacion.,0
1071,1,"Las lineas de las Rosas y las Musas se encuentran muy cerca, y podria plantearse la union de estas estaciones pues la zona lo permite.",1
1071,2,"Si no es posible, al menos que se explique el porque.",0
1100,1,Que se retiren los escombros de los carriles centrales de la la Avda.,0
1100,2,"Gran Via del Sureste en el Ensanche de Vallecas ya que impiden el paso a los peatones, y solo aportan suciedad e inseguridad.",1
1105,1,"Que se amplie el radio de las bicicletas municipales a todo Madrid, ya que seria mas ecologico y limpio.",1
1105,2,Es un agravio comparativo a los ciudadanos que vivimos fuera del alcance de las actuales.,0
1113,1,"Quiero que en las mociones de urgencia en los plenos del ayuntamiento de Madrid, se debata y se vote la urgencia.",0
1113,2,"Primero, porque es obligatorio.",0
1113,3,"Segundo, porque es democratico.",0
1130,1,Porque cuando paseamos por las calles hay que pisar las mierdas de los perros???,0
1130,2,", Los animales no tienen la culpa, sino los duenos porque no pagan ellos la limpieza de esas mierdas???",0
1130,3,Vota SI.,0
1134,1,"Supresion Estacionamiento Regulado ya que es un impuesto duplicado con el ITVM, porque hemos de pagar por visitar a un famililiar, ir a trabajar o hacer la compra diaria?",1
1140,1,"el unico motivo, es por que pagan menos al trabajador y a la seguridad social estoy de acuerdo con la integracion, pero si una persona puede trabajar, que sea igual que todos en todos los aspectos.",0
1159,1,"El barrio de Las Tablas esta al lado de la estacion de tren de Fuencarral, y sin embargo no hay acceso, solo un tunel sucio y por el que da miedo pasar.",1
1159,2,Asi mejoraria el acceso al barrio.,0
1172,1,"Proponemos que se elimine o rebaje sustancialmente el IBI que soportan las Entidades sin animo de lucro, ya que es un factor que coadyuva a la asfixia economica a muchas pequenas asociaciones.",1
1192,1,"Que en todas las propuestas que se manifiesten en esta plataforma se deje tambien opinar en contra, pues si no se reflejar la opinion de todo el mundo y el resultado es sesgado.",1
1195,1,La Tarjeta Azul en la actualidad se usa en la Zona A y en metro ligero L1.,0
1195,2,"Existen muchos discapacitados que viven en Madrid y trabajan en otras zonas distintas de la A y viceversa, que viven en zonas distintas de la A y trabajan en Madrid.",0
1195,3,"Esta Tarjeta Azul es incompatible con cualquier otra de las que existen en la actualidad para zonas distintas de la A, ya que si tienen una de la zona B1, tienen que renunciar a la Tarjeta Azul.",1
1195,4,"Con lo cual, solo se benefician los discapacitados que viven y trabajan en Madrid.",0
1195,5,No es esto una discriminacion para los que viven fuera de Madrid?,0
1195,6,Se podria ampliar a toda la Comunidad e incluir el tren de Cercanias?,0
1238,1,"Se trata de impedir que un suelo publico se ceda a empresas, fundaciones o negocios privados aunque digan que no tienen animo delucro",1
1246,1,Eliminacion de postes electricos del barrio de la Guindalera y soterramiento de cableado ya que algunos postes como el de la calle Pilar de Zaragoza 35 deben contar con mas de medio siglo.,0
1249,1,"Los residentes de areas limitrofes de una zona SER a veces podemos aparcar a 1km, pero no en la calle de enfrente.",1
1249,2,La propuesta es que las areas se asignen de forma mas flexible para los residentes.,0
1254,1,"Cuando subas a un bus urbano, aunque hagas varios transbordos o bajes y vuelvas a subir, tu billete sera valido durante 90 minutos despues de haber tickado la primera vez.",1
1264,1,Considero una medida positiva para Madrid el que se reduzca el numero de manzanas de viviendas de los barrios consolidados porque dificultan la vida y movilidad de los ciudadanos.,1
1267,1,Queremos una ciudad mas justa y sostenible.,0
1267,2,Las pymes sostenibles y cooperativas van en ese camino a diferencia de las grandes empresas.,1
1267,3,Estaria bien que el ayuntamiento les apoyase.,0
1268,1,La propuesta seria la reduccion de la cuantia a pagar por la multa de beber en la calle ya que 600 es excesivo.,0
1287,1,El transporte en Madrid es bueno pero tiene sus defectos.,1
1287,2,Deben existir mas conexiones circulares.,0
1329,1,Una tarjeta de aparcamiento de residente ocasional.,0
1329,2,"Muchas personas somos habitantes temporales de Madrid, pero no tenemos derecho a pasar mas de 4 horas ni pagando.",1
1329,3,Quiero aparcar.,0
1329,4,.,0
1329,5,quiero pagar,0
1355,1,"La religion catolica, mayoritaria en Espana, no se respeta en muchos ambitos porque deberia sancionarse como se hace en otros paises con sus religiones mayoritarias",1
1360,1,"Ante la caida de ramas y evidente riesgo de accidentes de los viandantes se deberia conservar y mantener el arbolado, ya que en zona concepcion ha habido varia caidas de ramas.",1
1379,1,"Muchas veces a la gente que se elige le perjudica , ya que o bien trabajan ese dia o es el unico dia que libran.",1
1379,2,Mejor gente que este en el paro y ademas le viene mejor la gratificacion,0
1426,1,"La educacion es gratuita pero no del todo, la comunidad de madrid deberia aportar los libros de texto en los colegios publicos como se hace en otros paises de Europa",1
1432,1,"El parque de Madrid Río se creó prometiendo que el transporte público llegaría hasta allí, pero es falso, metro de Legazpi queda lejos y los autobuses son nulos.",1
1436,1,"En ciertos centros de salud es imposible no perder toda la manana ya que las primeras citas del dia suelen estar copadas por personas mayores que, en general, podrian ir a mediodia sin problema.",1
1438,1,"Creo que la mayoria de los colegios publicos dan ingles pero no es continuo, es decir, dan unas horas al dia y ya esta, pero creo que deberia ponerse durante todo el dia.",1
1443,1,Las terrazas de verano e invierno (cubiertas) del Pso de La Florida son exageradamente grandes.,0
1443,2,Ocupan casi todo el espacio para poder pasar.,0
1443,3,"Terrazas si, pero mas pequenas y para verano.",0
1450,1,Me parecio un gran fallo el que se tapasen los azulejos del metro de Madrid con esos paneles monocromos.,0
1450,2,Tan solo habria que quitar los paneles monocromos de metal ya que los azulejos siguen debajo.,1
1492,1,"no solo se trata de limpiar, sino tambien de no ensuciar.",0
1492,2,.,0
1492,3,"hay que hacer campanas educativas para que la gente se conciencie sobre el cuidado de las calles, pero tambien sancionar si no se respeta.",0
1499,1,Pavimentar esta calle porque parece un barrizal cuando llueve ademas estan pintadas las rayas de aparcamiento controlado en las zonas donde son piedras en el suelo o en los parches k el ayuntamiento,1
1521,1,"Pues creo que Madrid es una ciudad muy bonita, pero durante los anos de la burbuja inmobiliaria se han construido cosas verdaderamente feas.",1
1521,2,Y si votamos la mas fea y la quitamos?,0
1526,1,"Dentro de Madrid Capital, hay la TARJETA AZUL, para personas con discapacidad, pero para viajar por el resto de la CCMM, no.",0
1526,2,Es posible entender que esta Tarjeta se pueda ampliar a CCMM,0
1555,1,Soy Angel conductor de la EMT y me gustaria que nuestro ayuntamiento cambiase el color PP de los autobuses asi como de nuestro emblema pues recuerda bastante a epocas pasadas,1
1559,1,"Podemos independizarnos de las companias electricas, pero claro, no hay voluntad politica.",0
1559,2,Se podia empezar por poner paneles en las azoteas de todos los edificios publicos...,0
1580,1,"Se Pide que el IBI de locales y negocios, baje al igual que el IBI de viviendas, dado que el valor catastral de estos inmuebles esta excesivamente valorado por encima de los precios de mercado.",1
1594,1,"El derecho al descanso debe estar protegido por la autoridad, ya que los ruidos provocan graves problemas de salud.",1
1594,2,De ahi la necesidad de una campana municipal de concienciacion ciudadana.,0
1605,1,"La nueva ley de propiedad horizontal obliga a todos los vecinos a pagar los ascensores, es una ley injusta.",0
1605,2,"Protege a las personas discapacitadas, pero no a las personas que no lo pueden pagar.",1
1625,1,"Cuando hay sol las placas fotovoltaicas estan muy bien, pero cuando no hay sol estan mejor los molinos de viento, por lo que ambas alternativas deberian fomentarse, permitirse y facilitarse.",0
1630,1,"Aunque existe normativa legal sobre el ruido, Madrid sigue siendo una ciudad muy ruidosa porque la ciudadania no esta lo suficientemente sensibilizada con los efectos del ruido.",1
1654,1,"Que se prohiba o persuada a la gente de tirar comida a los animales que estan en los lagos del parque Forestal de Valdebernardo, ya que estan provocando la proliferacion de plagas como las ratas.",1
1656,1,"Ante el aumento de bicis en la ciudad, se deben ampliar y hacer mas seguros los carril-bici, pero tambien obligar a los ciclistas a cumplir las normas y no ir por las aceras o en direccion prohibida.",1
1665,1,"Hay que hacer algo con los estudiantes que terminan su carrera y tienen que salida otro pais para poder ejercer la asignatura que tanto tiempo les ha costado, pero que luego no pueden ejercer en pais.",0
1670,1,"Las pistas de varios centros deportivos estan vacias, porque los precios son demasiado altos para esos distritos.",1
1670,2,Ninos y jovenes no pueden pagar ese precio.,0
1670,3,Bajemos el precio conforme a la renta.,0
1673,1,"Si miramos al suelo, facilmente veremos manchas negras, a veces en gran numero, bien, pues son los chicles que por falta de civismo se tiran al suelo.",1
1676,1,"Un proceso participativo muy interesante... pero tras revisar 12 paginas, he tenido que desistir de continuar con ello.",1
1676,2,Cuando escribo esto hay ya 233 paginas y no creo que nadie pueda leerlas todas.,0
1692,1,Madrid es una ciudad extensa.,0
1692,2,Muy a menudo los transportes publicos han de combinarse porque no hacer como en otras ciudades donde si tomas un medio a continuacion de otro solo pagas uno?,1
1715,1,"Prolongacion de la linea 3 de metro hasta el casar, enlazaria con la linea 12 metro sur , por lo que a mucha gente le vendria muy bien porque enlazaria Getafe con la Almendra central",0
1738,1,Poder usar las dos zonas (verde y azul) en tu propio barrio sin que se penalice ya que pagamos anualmente por aparcar y no hay aparcamiento.,0
1742,1,"Hace unos anos, se establecio un servicio de autobuses nocturnos, que debido a la crisis, se retiro.",1
1742,2,Nosotros proponemos que este se restablezca.,0
1753,1,"Hacer ver a todos los ciudadanos, que los comportamientos cada vez mas habituales, de tirar al suelo papeles, chicles, latas de bebidas y de todo, aunque no haya papelera a mano, no es justificable.",1
1763,1,"Hay muchas carreras populares cada fin de semana, pero las pistas de atletismo municipal y su entorno estan destrozadas, al estar decenas de anos sin repararlas.",1
1763,2,Fomentas salud y deporte,0
1766,1,"Es un monumento poco digno para las victimas, muy feo, pues parece una papelera gigante, en una horrible y excesiva peana negra, que ademas dificulta el flujo en una plaza con un trafico elevado.",1
1818,1,"Cada vez hay menos sitio para que aparquemos los residentes del barrio de Tetuan ya que los contenedores de basura estan invadiendo, a un ritmo alarmante, los pocos huecos disponibles...",1
1827,1,Sustitucion de las bolsas de plastico por bolsas de papel reciclado.,0
1827,2,Prohibicion total de su venta y uso ya que es un gran problema para el medio ambiente.,1
1855,1,"El Ayuntamiento deberia revisar el estado de las alcantarillas, ya que muchas estan practicamente taponadas, por suciedad, impidiendo que entre el agua, que se desparrama por las calles.",1
1867,1,"por fuera el rio esta muy bien, pero por dentro esta horrible.",0
1877,1,"el sur de Madrid, lo estan tomando los gitanos y nadie esta haciendo nada por impedirlo, esto es porque le sale al gobierno mas barato?",1
1877,2,", tenemos miedo de ir a la compra, pueden meterse en los pisos",0
1880,1,"La pagina esta realmente bien, pero contempla una estructura de accion que puede reducir sus posibilidades democraticas.",1
1880,2,"Las propuestas (que no los debates) solo permiten APOYAR una iniciativa, pero no permiten NO APOYAR una iniciativa.",0
1880,3,Se permite que 53.000 madrilenos la apoyen pero no que 530.000 NO la apoyen con lo que se disfraza de 'democracia' y de 'validacion ciudadana' iniciativas que cuentan solo con la posibilidad de datos positivos.,0
1882,1,"En Madrid, existen negocios que se ven obligados a funcionar clandestinamente, por no poder cumplir con los requisitos de aprobacion de licencias de actividad, ya que en muchos casos son surrealistas.",1
1911,1,"Las carreteras de pago ( Radiales ), para fomentar su uso, ya que estan en perdidas, se podrian liberar de limite de velocidad.",1
1911,2,El que quiera correr con su coche podria utilizar estas carreteras.,0
1918,1,Pagar el impuesto municipal de plusvalia por la herencia de inmuebles es abusivo porque no hay transaccion economica y solo cambio de titularidad.,1
1918,2,Situacion diferente es cuando hay compra-venta,0
1927,1,"En esta web deberia existir un sistema que periodicamente unifique las propuestas planteadas, ya que muchas estan repetidas.",1
1927,2,Asi funcionaria mejor y el voto de cada propuesta seria mas efectivo.,0
1937,1,"Creo ya existe Ordenanza, pero los duenos llevan impunemente los perros sueltos y/o sin bozal, ya que no se aplica habitualmente el castigo.",1
1937,2,"Son peligrosos, aunque el dueno te dice '...si no muerde'",1
1941,1,"Es chulo el atletismo; pero en clase no se les ensena como correr, como saltar.",1
1941,2,"Si es bueno para los padres, el Ayuntamiento deberia de fomentarlo en clase de educacion fisica.",0
1941,3,Salud y estilo de vida,0
1950,1,Los tablones callejeros para anuncios de comercios y servicios de barrio situados en zonas de mucho transito cercanas pero no de paso evitan la pegada indiscriminada de anuncios.,0
1957,1,Desde la apertura de la R-3 se cerro un acesso fundamental a la m-40 para los barrios de Las Rosas y Moratalaz.,0
1957,2,Debido a esto el trafico en las calles Aquitania y Fuente Carrantona es muy intenso y la contaminacion dificulta en muchas ocasiones el hecho de respirar en algunos tramos de estas calles.,0
1957,3,"AHbria que reabrir el acesso a la m-40 que habia en el ano 2001 o repartir el trafico con la calle Versalles , esta ultima con cuatro carriles pero sin acesso en ambos sentidos con lo que el trafico en esta calle es casi inexistente.",0
